Burrow,Status,Xcoord,Ycoord,Z,Watershed,Dew5m,Dew15m,Slope5m,Slope15m,Shrub5m,Shrub15m,Rock5m,Rock15m
i1,1,128387.3906,1031302.813,536,5,936,933,1100,961,395,4227,1346,11623
i10,0,128353.0234,1031315.813,530.04,5,935,935,997,962,408,4945,1482,12476
i100,1,128334.3281,1031370.813,528.64,5,924,922,667,744,595,5306,1024,10027
i101,1,128342.3125,1031367.375,529.39,5,925,927,713,794,482,4530,1225,11215
i102,1,128349.1719,1031393.688,531.63,5,928,927,664,698,848,5302,982,10568
i103,0,128321.1797,1031378.875,527.8,5,872,859,429,633,588,6832,1063,7586
i104,1,128325.0391,1031380.188,527.85,5,915,918,487,674,989,6832,744,7586
i105,1,128323.2969,1031381.688,527.99,5,915,918,487,674,759,6832,669,7586
i106,0,128324.5703,1031382.875,528.08,5,915,918,487,674,759,5192,669,7768
i107,1,128324.0703,1031383.813,528.16,5,895,918,663,674,759,5192,669,7768
i108,0,128323.6016,1031381.875,528.04,5,915,918,487,674,759,6832,669,7586
i109,1,128325.9688,1031383.625,528.17,5,895,918,663,674,759,5192,669,7768
i11,1,128353.7969,1031316.313,530.15,5,935,935,997,962,408,4945,1482,12476
i110,0,128327.8281,1031383.875,528.29,5,895,918,663,674,742,5192,820,7768
i111,0,128329.0703,1031386.313,528.61,5,920,918,679,674,694,5192,772,7768
i112,0,128326.9219,1031385.875,528.41,5,895,918,663,674,694,5192,772,7768
i113,1,128324.8281,1031384.875,528.26,5,895,918,663,674,759,5192,669,7768
i114,0,128324.9219,1031385.688,528.33,5,895,918,663,674,689,5192,720,7768
i115,0,128325.2813,1031385.813,528.38,5,895,918,663,674,689,5192,720,7768
i116,0,128325.0469,1031386.313,528.4,5,895,918,663,674,689,5192,720,7768
i117,0,128321.8281,1031386.313,528.53,5,864,859,691,633,488,5192,1024,7768
i118,0,128321.4297,1031386.375,528.58,5,864,859,691,633,488,5192,1024,7768
i119,0,128326.0781,1031387.188,528.53,5,895,918,663,674,689,5192,720,7768
i12,0,128353.1563,1031317.875,530.08,5,935,935,997,962,408,4945,1482,12476
i120,1,128325.6328,1031387.875,528.6,5,895,918,663,674,689,5192,720,7768
i121,0,128325.1563,1031388.313,528.67,5,881,898,576,629,689,5192,720,7768
i122,1,128326.3906,1031388.375,528.69,5,881,898,576,629,689,5192,720,7768
i123,0,128325.9609,1031389.125,528.72,5,881,898,576,629,689,5192,720,7768
i124,1,128326.4531,1031388.875,528.74,5,881,898,576,629,689,5192,720,7768
i125,1,128326.7969,1031388.188,528.68,5,881,898,576,629,689,5192,720,7768
i126,1,128327.0078,1031388.313,528.66,5,881,898,576,629,694,5192,772,7768
i127,1,128327.1094,1031388.375,528.67,5,881,898,576,629,694,5192,772,7768
i128,0,128327.4609,1031388.375,528.72,5,881,898,576,629,694,5192,772,7768
i129,0,128326.8438,1031388.813,528.7,5,881,898,576,629,694,5192,772,7768
i13,0,128356.9922,1031312.625,530.67,5,935,934,1021,990,432,4945,1576,12476
i130,1,128326.9063,1031388.875,528.75,5,881,898,576,629,694,5192,772,7768
i131,0,128326.5625,1031389.813,528.81,5,881,898,576,629,689,5192,720,7768
i132,0,128329.8281,1031389.313,528.94,5,911,898,659,629,694,5192,772,7768
i133,1,128323.3281,1031389.875,528.92,5,881,898,576,629,689,5192,720,7768
i134,1,128323.6172,1031393,529.23,5,881,898,576,629,684,5192,855,7768
i135,1,128320.1719,1031388.625,528.86,5,863,855,714,728,488,5192,1024,7768
i136,1,128327.7891,1031394.313,529.32,5,871,898,581,629,468,5192,985,7768
i137,0,128325.0391,1031396.313,529.55,5,871,898,581,629,699,5192,741,7768
i138,0,128328.9063,1031397,529.62,5,904,898,623,629,680,5192,656,7768
i139,1,128330.0391,1031399,529.9,5,894,898,607,629,605,4734,759,8390
i14,1,128399.6406,1031313.375,537.58,5,937,883,398,460,412,3721,1496,12504
i140,1,128332.0078,1031396.375,529.76,5,904,898,623,629,619,5152,957,9533
