#,College,City,Crime
1,Appalachian State University,"Boone, NC",0.981
2,Arizona State University,"Tempe, AZ",1.896
3,Auburn University,"Auburn, AL",1.099
4,Ball State University,"Muncie, IN",1.806
5,Boise State University,"Boise, ID",0.763
6,Boston University,"Boston, MA",2.158
7, Brigham Young University,"Provo, UT",0.528
8,Brigham Young University-Idaho,"Rexburg, ID",0.221
9, California Polytechnic State University: San Luis Obispo,"San Luis Obispo, CA",0.959
10,California Polytechnic State University: Pomona,"Pomona, CA",2.227
11,California State University: Chico,"Chico, CA",0.628
12,California State University: Fresno,"Fresno, CA",2.593
13,California State University: Fullerton,"Fullerton, CA",0.747
14,California State University: Long Beach,"Long Beach, CA",1.032
15,California State University: Los Angeles,"Los Angeles, CA",1.644
16,California State University: Northridge,"San Fernando, CA",1.653
17,California State University: Sacramento,"Sacramento, CA",0.928
18,California State University: San Bernardino,"San Bernardino, CA",1.333
19,Central Michigan University,"Mount Pleasant, MI",0.887
20,City University of New York: Hunter College,"New York, NY",0.263
21,City University of New York: New York City College of Technology,"Brooklyn, NY",0.125
22,City University of New York: Queens College,"Queens, NY",0.762
23,Clemson University,"Clemson, SC",2.26
24,Colorado State University,"Fort Collins, CO",0.821
25,DePaul University,"Chicago,IL",0.512
26,Drexel University,"Philadelphia, PA",1.971
27,East Carolina University,"Greenville, NC",1.168
28,Eastern Michigan University,"Ypsilanti, MI",1.238
29,Florida Atlantic University,"Boca Raton, FL",1.231
30,Florida International University,"Miami, FL",1.547
31,Florida State University,"Tallahassee, FL",2.361
32,George Mason University,"Fairfax, VA",1.17
33,Georgia Southern University,"Statesboro, GA",0.742
34,Georgia State University,"Atlanta, GA",0.625
35,Grand Valley State University,"Allendale, MI",0.365
36,Illinois State University,"Normal, IL",2.487
37,Indiana University Bloomington,"Bloomington, IN",3.183
38,Indiana University-Purdue University Indianapolis,"Indianapolis, IN",2.424
39,Iowa State University,"Ames, IA",2.263
40,James Madison University,"Harrisonburg, VA",1.014
41,Kansas State University,"Manhattan, KS",1.383
42,Kennesaw State University,"Kennesaw, GA",1.613
43,Kent State University,"Kent, OH",0.862
44,LSU,"Baton Rouge, LA",2.692
45,Metropolitan State University of Denver,"Denver, CO",3.195
46,Michigan State University,"East Lansing, MI",2.342
47,Middle Tennessee State University,"Murfreesboro, TN",1.74
48,Mississippi State University,"Mississippi State, MS",2.987
49,Missouri State University,"Springfield, MO",0.444
50,New York University,"New York, NY",0.66
51,North Carolina State University,"Raleigh, NC",2.157
52,Northeastern University,"Boston, MA",1.15
53,Northern Arizona University,"Flagstaff, AZ",2.327
54,Northern Illinois University ,"DeKalb, IL",1.261
55,Oakland University,"Rochester, MI",1.29
56,Ohio State University,"Columbus, OH",1.249
57,Ohio University,"Athens, OH",1.489
58,Oklahoma State University,"Stillwater, OK",2.214
59,Old Dominion University,"Norfolk, VA",2.222
60,Oregon State University,"Corvallis, OR",2.884
61,Penn State University,"State College, PA",3.419
62,Portland State University,"Portland, OR",1.889
63,Purdue University,"West Lafayette, IN",0.979
64,"Rutgers, The State University of New Jersey","Piscataway, NJ",2.303
65,Sam Houston State University,"Huntsville, TX",0.399
66,San Diego State University,"San Diego, CA",3.045
67,San Francisco State University,"San Francisco, CA",1.896
68,San Jose State University,"San Jose, CA",2.017
69,SUNY University at Buffalo,"Buffalo, NY",3.12
70,SUNY University at Stony Brook,"Stony Brook, NY",5.1
71,Temple University,"Philadelphia, PA",0.38
72,Texas A&M University,"College Station, TX",0.737
73,Texas State University: San Marcos,"San Marcos, TX",1.672
74,Texas Tech University,"Lubbock, TX",1.083
75,Thomas Edison State College,"Trenton, NJ",0
76,Towson University,"Towson, MD",1.072
77,Troy University,"Troy, AL",0.382
78,University of Akron,"Akron, OH",1.019
79,University of Alabama,"Tuscaloosa, AL",2.926
80,University of Arizona,"Tucson, AZ",1.402
81,University of Arkansas,"Fayetteville, AR",3.017
82,University of California: Berkeley,"Berkeley, CA",2.961
