v ghv  ,Weight_Gain,Current_Age,Freshman_Age,Extracurricular,Gender,Smoke,Study,GPA
1,0,21,18,0,1,1,1,3.1
2,0,22,18,1,0,0,0,2
3,7,29,18,1,1,1,1,2.3
4,0,23,19,1,1,1,3,4
5,10,24,18,1,0,1,0,3.2
6,0,21,18,0,0,1,0,3.6
7,5,22,18,0,1,1,2,3.9
8,0,21,19,2,1,1,3,3.3
9,0,21,18,2,1,1,3,3.7
10,0,20,19,1,1,1,3,2.7
11,0,19,18,2,1,1,2,3.53
12,0,21,18,2,1,1,2,3.4
13,2,20,18,3,1,1,3,2.24
14,5,21,18,3,1,1,3,2.75
15,15,20,18,1,1,1,3,3.11
16,5,20,18,2,0,1,1,3.5
17,5,20,18,2,1,1,3,4
18,0,21,18,1,1,1,1,3.97
19,0,21,18,3,1,1,3,4
20,0,22,18,2,1,1,2,3.8
21,20,22,18,1,1,1,2,3.7
22,0,20,18,2,1,1,3,4
23,10,21,18,1,1,1,3,3.81
24,0,21,18,1,1,1,2,4
25,10,19,18,3,1,1,3,3.78
26,10,20,18,3,1,1,4,3
27,10,20,18,2,0,1,0,2.8
28,15,20,18,0,1,1,1,3.58
29,15,19,18,1,0,1,0,3.5
30,5,21,18,1,1,1,1,3.9
31,0,21,18,2,1,1,1,3.5
32,10,20,18,2,1,1,2,3.83
33,5,21,17,1,0,0,3,3.5
34,0,20,19,1,1,1,4,2.87
35,15,21,18,1,1,1,2,2.8
36,0,22,18,1,0,1,1,3.1
37,10,19,18,1,1,1,2,2.82
38,0,19,18,1,1,1,1,2
39,10,20,18,1,1,1,3,2.76
40,5,21,19,2,1,1,3,3
41,0,20,18,1,1,1,2,3.97
42,5,19,18,2,1,1,4,3.17
43,0,21,18,1,0,0,2,2.6
44,4,20,18,1,0,1,2,2.44
45,20,20,17,0,1,1,1,3.6
46,5,24,18,1,1,1,1,3.4
47,0,21,18,1,1,1,1,2.5
48,0,20,18,0,0,0,0,2.5
49,25,21,18,0,1,1,2,2.9
50,0,21,18,0,0,1,1,3.81
51,5,20,19,2,1,1,4,4
52,0,20,18,1,1,1,1,2.75
53,5,20,17,2,1,1,2,3.46
54,0,22,18,2,1,1,3,3.8
55,0,22,18,2,1,1,0,3.8
56,5,24,18,1,1,1,0,3
57,5,21,18,1,1,1,4,3.2
58,5,21,18,1,0,1,1,3.9
59,0,19,18,1,1,1,2,3.95
60,35,22,18,2,1,1,2,3.5
61,0,21,18,1,1,1,4,3.5
62,0,21,18,1,0,1,1,3
63,10,20,17,1,0,1,2,3.33
64,0,21,18,1,0,1,1,3.55
65,0,28,17,0,0,0,1,3.8
66,15,19,18,1,1,1,2,3.76
67,10,20,18,2,1,1,2,4
68,0,20,18,1,1,1,2,3.6
69,5,20,18,1,0,1,4,3.7
70,0,22,18,3,1,1,1,4
71,0,20,18,2,0,1,2,2.32
72,5,19,18,3,1,1,3,3
73,0,21,18,0,1,0,0,3
74,0,20,18,2,0,1,0,3.1
75,0,24,18,0,0,1,0,3
76,0,21,18,1,1,1,4,3.5
77,0,21,18,1,1,1,3,2.9
78,0,21,19,1,1,1,1,3.2
79,0,21,18,1,1,1,3,3.8
80,5,20,18,2,1,1,3,2.93
81,0,22,18,1,0,0,4,3.46
82,15,21,18,1,0,1,1,2.9
83,15,21,18,1,0,1,1,3
84,0,21,18,1,1,1,3,3.9
85,0,21,18,1,0,1,1,3.95
86,0,20,18,1,1,1,0,3
87,0,21,19,2,1,1,4,3.51
88,5,20,18,1,1,1,3,3.7
89,0,20,18,1,0,1,0,3.1
90,0,21,20,0,1,1,2,3.5
91,0,19,18,2,1,1,3,3.73
92,30,21,18,1,0,0,1,3.8
93,4,21,18,2,1,1,2,3.8
94,10,19,18,1,1,1,2,3.5
95,0,20,19,1,1,1,1,3.25
