TotCrimeIndex,HealthCare,MedAge,EducIndex,UnemployRate,MedHouseIncome,AdultPov,hivCase
258,28081769,41,4.9,0.016262861,136842,0.086175396,24
208,19969490,27,4.760837619,0.02605724,135893,0.223412112,15
304,22170778,32,4.493936331,0.044558466,99063,0.122657581,14
242,7713313,43,4.632478632,0.021668472,182578,0.060142712,5
179,12930039,30,4.605034722,0.029964043,89191,0.162598831,18
173,14622436,40,4.707066869,0.01589404,104375,0.05796514,13
287,23164734,47,4.625745257,0.028460039,113922,0.129851288,13
188,24225532,44,4.384237726,0.029756252,81039,0.029192345,34
126,8714904,31,4.288297872,0.031097135,66352,0.084960938,11
176,32766762,44,4.534593725,0.067533905,118569,0.141443084,13
206,13690398,39,4.787100157,0.021512838,92384,0.095154699,12
242,25340794,20,4.827859978,0.067877216,219583,0.105963529,8
249,11947242,43,4.438466711,0.053791887,179167,0.060305344,5
274,32134275,40,4.78183613,0.024840138,147500,0.06086554,19
183,10867344,34,4.376014427,0.030098832,89119,0.193677471,11
234,27738266,43,4.676586699,0.013209013,128909,0.08957363,14
230,22933783,37,4.716346154,0.030874786,109405,0.087190527,23
226,15944412,36,4.89984,0.041971506,79098,0.139300135,14
86,30323262,35,4.782186506,0.035508828,78140,0.089420655,16
274,14526059,40,4.682139699,0.011305242,126576,0.067039106,9
236,15626833,47,4.155902004,0.056771546,87826,0.044950379,19
263,30302491,47,4.686655606,0.006706408,179859,0.036489152,15
273,18628308,49,4.314719272,0.035360069,135403,0.063091483,32
228,8414848,39,3.691609977,0.114314115,106154,0.108229426,32
251,5418047,40,2.866986481,0.156415695,38000,0.129429134,63
153,5865353,37,2.65430222,0.118912338,38007,0.216859717,86
285,7738035,43,3.155514706,0.088720464,53750,0.030267296,71
237,4450166,44,3.189757058,0.083486239,64196,0.069444444,21
231,6642156,39,3.12118019,0.05615142,47878,0.073751452,58
247,10652138,44,3.219005197,0.105117566,56808,0.1244,87
266,7140883,36,2.334256439,0.136510211,43769,0.151443724,104
305,7477161,33,2.857015458,0.107620079,45046,0.138372447,119
272,6089854,37,2.714869281,0.191992282,60882,0.021294021,72
194,4686715,40,3.009416196,0.124923077,44096,0.148803828,67
196,6153920,38,2.935438922,0.131042516,54167,0.11980198,75
19,7295363,46,3.366609294,0.017883756,54022,0.32912844,35
351,6914443,37,3.015937732,0.173103135,63342,0.122052131,71
280,4841358,40,3.0284126,0.280100334,32067,0.359455959,58
132,10117742,35,2.659617033,0.105955907,42604,0.126163109,117
314,11223888,47,4.189456343,0.048997773,126944,0.050203528,42
119,15507236,33,3.814888337,0.065532131,58659,0.103100216,107
153,16693524,33,3.875849912,0.074940836,99524,0.079210334,98
15,7013213,30,2.925565082,0.113015285,46393,0.185936934,100
30,6031325,31,2.743390358,0.066551127,45625,0.159251304,95
185,7358691,30,3.153518822,0.079442771,60861,0.138733706,97
14,6753725,30,3.509515571,0.109485816,60459,0.198379004,75
63,6112523,33,2.939149165,0.084571429,74637,0.0808933,61
195,8636527,36,2.791322945,0.080552747,62361,0.163767247,102
407,9527286,36,3.746776689,0.109547739,86101,0.18234767,93
296,4762794,33,3.903606965,0.078612717,97216,0.129842932,72
199,3766481,21,3.102147971,0.130963096,46365,0.177257525,93
217,3594261,24,2.87150838,0.144044321,63510,0.206229353,84
23,7952289,34,3.217552118,0.05115758,47656,0.169031851,125
35,7805318,29,3.38787071,0.056029233,60324,0.156305506,144
37,14380414,34,4.052893428,0.049125729,79120,0.077874244,115
94,14755994,35,4.177850656,0.074693423,76107,0.059757943,95
275,17952718,38,4.770439129,0.062641509,98425,0.034853541,37
113,11834796,35,4.442176871,0.012029289,89189,0.042260692,63
202,14278801,43,4.615853659,0.052316891,105341,0.042406312,51
82,14629344,31,4.423752151,0.028609896,89353,0.09516129,128
57,11871798,33,4.672265093,0.045751634,81326,0.061918063,70
134,10259148,36,3.80754557,0.056661562,64959,0.162591163,92
361,20344843,34,3.975138122,0.052338812,101853,0.11237785,138
192,5932436,35,3.042348412,0.056511057,78257,0.089622642,120
144,8015817,30,2.991752577,0.245447924,19572,0.324520477,105
106,7159091,38,3.476806084,0.209302326,70490,0.293963255,45
321,6416952,39,3.612149533,0.063555913,82866,0.08113879,88
47,7870257,35,3.054150022,0.059570313,57943,0.127668845,89
190,4710664,31,3.327471195,0.082362082,50948,0.179584121,75
185,9565162,30,3.916051661,0.048094374,89267,0.112510154,79
204,6977782,36,4.235446313,0.056521739,135313,0.104958146,83
49,20204765,34,3.688301593,0.046484466,81744,0.09601095,193
40,23184205,33,4.545321024,0.03277972,72340,0.101414624,226
60,24530317,33,4.809168925,0.022988506,93006,0.088997122,137
122,31412625,33,4.717403902,0.039921035,94489,0.155332856,89
102,19285990,29,4.541459127,0.01963141,64028,0.343244804,38
321,15056102,34,4.433150569,0.014622642,120329,0.034362766,27
152,6989335,32,3.555769973,0.148381673,83911,0.37544312,103
309,NA,,0,0,,NA,NA
44,1777766,40,2.407862408,0.18907563,20965,0.301628106,83
223,10972184,33,4.444548432,0.037628866,127963,0.034158416,24
239,7900762,33,4.859813084,0.018102824,123170,0.071041949,14
304,18856011,38,4.522789013,0.019101521,145313,0.039961328,50
203,5194725,36,3.411764706,0.09948793,83618,0.074664965,60
282,5395082,35,3.634241245,0.038777032,99500,0.066834805,49
