Student,SAS_proficiency,prior_lang_cat,aids_books,aids_programs,aids_classes,aids_websites
1,2,0,1,0,1,0
2,2,1,0,0,0,1
3,2,1,1,1,1,0
4,2,0,1,0,1,0
5,3,1,1,1,1,0
6,2,1,0,0,1,0
7,2,1,1,0,1,0
8,3,1,1,0,1,0
9,2,1,1,0,1,0
10,2,1,1,0,1,0
11,2,1,1,1,1,0
12,3,0,1,1,1,0
13,3,1,1,1,1,0
14,2,1,0,1,1,1
15,,,0,0,0,0
16,1,0,0,0,0,0
17,1,0,1,0,0,0
18,1,0,0,0,1,1
19,1,1,0,1,1,1
20,3,1,1,1,1,1
21,2,0,0,0,1,0
22,2,0,0,0,0,0
23,2,1,0,0,1,0
24,2,1,0,0,0,1
25,2,1,1,0,1,0
26,2,1,0,0,1,0
27,2,1,1,0,1,0
28,1,1,1,0,1,0
29,2,1,0,0,0,0
30,2,1,0,0,1,0
31,,,0,0,0,0
32,3,1,1,0,1,1
33,3,1,1,1,0,0
34,,,0,0,0,0
35,2,1,1,0,0,0
36,2,0,0,0,1,0
37,3,1,1,1,1,0
38,2,1,1,1,0,0
39,2,1,1,1,1,0
40,2,1,1,0,1,1
41,1,1,1,0,1,0
42,2,0,1,1,1,0
43,2,0,0,0,1,1
44,2,1,0,0,1,0
45,1,0,0,0,1,0
46,2,1,0,0,1,0
47,1,1,0,0,1,0
48,2,0,0,0,0,0
49,2,1,1,0,1,0
50,2,0,0,0,1,0
51,3,0,1,1,1,1
52,2,1,0,0,1,0
53,3,1,1,1,1,1
54,2,0,1,0,1,0
55,3,0,1,1,1,0
56,3,0,0,0,1,0
57,2,1,1,0,1,0
58,3,1,1,1,1,1
59,3,1,0,0,1,0
60,2,0,1,0,1,0
61,,,0,0,0,0
62,2,0,1,1,1,0
63,1,1,0,1,0,0
64,3,1,0,0,1,0
65,,1,0,0,1,0
66,2,1,0,0,1,0
67,1,1,0,0,1,0
68,1,1,1,0,1,0
69,2,1,1,0,1,1
70,2,0,0,0,1,0
71,2,1,1,0,1,0
72,2,1,1,1,1,1
73,2,1,0,1,1,0
74,3,1,1,1,1,1
75,3,1,0,1,0,1
76,2,1,0,0,0,0
77,2,0,0,0,1,0
78,2,1,1,0,0,1
79,2,0,0,0,1,0
80,2,0,0,0,1,0
81,3,1,0,0,1,1
82,2,1,0,0,1,0
83,2,1,0,0,1,0
84,2,1,0,0,1,1
85,1,1,0,0,1,0
86,1,0,0,0,0,1
87,2,0,0,1,1,1
88,2,1,1,0,1,1
89,1,0,0,0,1,0
90,3,1,1,0,1,1
91,2,0,0,0,1,0
92,2,1,0,0,1,0
93,,,0,0,0,0
94,2,1,0,0,1,1
95,2,0,0,0,0,0
96,2,1,0,0,1,0
97,1,1,0,0,1,1
98,3,1,1,1,1,1
99,1,1,0,0,0,0
100,2,0,1,1,1,1
101,3,1,1,0,1,0
102,2,1,0,1,1,1
103,3,0,1,0,0,0
104,3,0,0,0,1,0
105,1,1,0,0,1,0
106,3,1,1,0,0,1
107,3,1,1,0,1,0
108,1,0,0,0,1,0
109,2,1,0,0,1,1
110,1,1,0,0,0,0
111,2,1,0,0,1,1
112,2,0,0,0,1,0
113,1,0,1,0,1,1
114,2,0,1,0,1,0
115,2,0,1,0,1,0
116,2,1,0,0,1,0
117,3,1,0,0,1,0
118,2,0,1,0,1,1
119,1,,0,0,0,0
120,3,1,1,0,1,0
,,,0,0,0,0
